Year;Sex;Age;Total
2009;Alls; 26 ára;1347
2009;Alls; 27 ára;1197
2009;Alls; 28 ára;1061
2009;Alls; 29 ára;966
2009;Karlar;16 ára;2291
2009;Karlar; 17 ára;2175
2009;Karlar; 18 ára;1877
2009;Karlar; 19 ára;1757
2009;Karlar; 20 ára;1387
2009;Karlar; 21 ára;1266
2009;Karlar; 22 ára;1024
2009;Karlar; 23 ára;863
2009;Karlar; 24 ára;745
2009;Karlar; 25 ára;689
2009;Karlar; 26 ára;571
2009;Karlar; 27 ára;533
2009;Karlar; 28 ára;460
2009;Karlar; 29 ára;421
2009;Konur;16 ára;2279
2009;Konur; 17 ára;2099
2009;Konur; 18 ára;1869
2009;Konur; 19 ára;1897
2009;Konur; 20 ára;1459
2009;Konur; 21 ára;1457
2009;Konur; 22 ára;1203
2009;Konur; 23 ára;1123
2009;Konur; 24 ára;993
2009;Konur; 25 ára;875
2009;Konur; 26 ára;776
2009;Konur; 27 ára;664
2009;Konur; 28 ára;601
2009;Konur; 29 ára;545
2010;Alls;16 ára;4372
2010;Alls; 17 ára;4213
2010;Alls; 18 ára;3877
2010;Alls; 19 ára;3425
2010;Alls; 20 ára;2781
2010;Alls; 21 ára;2593
2010;Alls; 22 ára;2544
2010;Alls; 23 ára;2133
2010;Alls; 24 ára;1757
2010;Alls; 25 ára;1553
2010;Alls; 26 ára;1319
2010;Alls; 27 ára;1203
2010;Alls; 28 ára;1079
2010;Alls; 29 ára;964
2010;Karlar;16 ára;2213
2010;Karlar; 17 ára;2091
2010;Karlar; 18 ára;1954
2010;Karlar; 19 ára;1715
2010;Karlar; 20 ára;1422
2010;Karlar; 21 ára;1209
2010;Karlar; 22 ára;1199
2010;Karlar; 23 ára;981
2010;Karlar; 24 ára;756
2010;Karlar; 25 ára;661
2010;Karlar; 26 ára;600
2010;Karlar; 27 ára;525
2010;Karlar; 28 ára;479
2010;Karlar; 29 ára;447
2010;Konur;16 ára;2159
2010;Konur; 17 ára;2122
2010;Konur; 18 ára;1923
2010;Konur; 19 ára;1710
2010;Konur; 20 ára;1359
2010;Konur; 21 ára;1384
2010;Konur; 22 ára;1345
2010;Konur; 23 ára;1152
2010;Konur; 24 ára;1001
2010;Konur; 25 ára;892
2010;Konur; 26 ára;719
2010;Konur; 27 ára;678
2010;Konur; 28 ára;600
2010;Konur; 29 ára;517
2011;Alls;16 ára;4212
2011;Alls; 17 ára;4168
2011;Alls; 18 ára;3972
2011;Alls; 19 ára;3621
2011;Alls; 20 ára;2732
2011;Alls; 21 ára;2820
2011;Alls; 22 ára;2638
2011;Alls; 23 ára;2507
2011;Alls; 24 ára;1938
2011;Alls; 25 ára;1559
2011;Alls; 26 ára;1376
2011;Alls; 27 ára;1217
2011;Alls; 28 ára;1082
2011;Alls; 29 ára;1021
2011;Karlar;16 ára;2172
2011;Karlar; 17 ára;2102
2011;Karlar; 18 ára;1959
2011;Karlar; 19 ára;1803
2011;Karlar; 20 ára;1410
2011;Karlar; 21 ára;1319
2011;Karlar; 22 ára;1235
2011;Karlar; 23 ára;1162
2011;Karlar; 24 ára;905
2011;Karlar; 25 ára;680
2011;Karlar; 26 ára;581
2011;Karlar; 27 ára;540
2011;Karlar; 28 ára;453
2011;Karlar; 29 ára;452
2011;Konur;16 ára;2040
2011;Konur; 17 ára;2066
2011;Konur; 18 ára;2013
2011;Konur; 19 ára;1818
2011;Konur; 20 ára;1322
2011;Konur; 21 ára;1501
2011;Konur; 22 ára;1403
2011;Konur; 23 ára;1345
2011;Konur; 24 ára;1033
2011;Konur; 25 ára;879
2011;Konur; 26 ára;795
2011;Konur; 27 ára;677
2011;Konur; 28 ára;629
2011;Konur; 29 ára;569
2012;Alls;16 ára;4306
2012;Alls; 17 ára;3988
2012;Alls; 18 ára;3821
2012;Alls; 19 ára;3574
2012;Alls; 20 ára;2599
2012;Alls; 21 ára;2665
2012;Alls; 22 ára;2709
2012;Alls; 23 ára;2352
2012;Alls; 24 ára;2125
2012;Alls; 25 ára;1640
2012;Alls; 26 ára;1333
2012;Alls; 27 ára;1110
2012;Alls; 28 ára;1052
2012;Alls; 29 ára;956
2012;Karlar;16 ára;2197
2012;Karlar; 17 ára;2044
2012;Karlar; 18 ára;1875
2012;Karlar; 19 ára;1740
2012;Karlar; 20 ára;1366
2012;Karlar; 21 ára;1309
2012;Karlar; 22 ára;1242
2012;Karlar; 23 ára;1037
2012;Karlar; 24 ára;980
2012;Karlar; 25 ára;786
2012;Karlar; 26 ára;573
2012;Karlar; 27 ára;487
2012;Karlar; 28 ára;470
2012;Karlar; 29 ára;392
2012;Konur;16 ára;2109
2012;Konur; 17 ára;1944
2012;Konur; 18 ára;1946
2012;Konur; 19 ára;1834
2012;Konur; 20 ára;1233
2012;Konur; 21 ára;1356
2012;Konur; 22 ára;1467
2012;Konur; 23 ára;1315
2012;Konur; 24 ára;1145
2012;Konur; 25 ára;854
2012;Konur; 26 ára;760
2012;Konur; 27 ára;623
2012;Konur; 28 ára;582
2012;Konur; 29 ára;564
2013;Alls;16 ára;4189
2013;Alls; 17 ára;4004
2013;Alls; 18 ára;3703
2013;Alls; 19 ára;3418
2013;Alls; 20 ára;2600
2013;Alls; 21 ára;2610
2013;Alls; 22 ára;2547
2013;Alls; 23 ára;2475
